"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","12","2024","13","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","12","2024","28","JAMMU AND KASHMIR","HARYANA"
"07","01","12","2024","7","JAMMU AND KASHMIR","DELHI"
"08","01","12","2024","8","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","12","2024","2196","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","12","2024","1827","JAMMU AND KASHMIR","BIHAR"
"18","01","12","2024","3","JAMMU AND KASHMIR","ASSAM"
"19","01","12","2024","4","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","12","2024","66","JAMMU AND KASHMIR","JHARKHAND"
"22","01","12","2024","524","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","12","2024","1700","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","12","2024","2","JAMMU AND KASHMIR","GUJARAT"
"01","02","12","2024","2","HIMACHAL PRADESH","JAMMU AND KASHMIR"
"05","02","12","2024","32","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","12","2024","128","HIMACHAL PRADESH","HARYANA"
"07","02","12","2024","33","HIMACHAL PRADESH","DELHI"
"08","02","12","2024","47","HIMACHAL PRADESH","RAJASTHAN"
"09","02","12","2024","13727","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","12","2024","4764","HIMACHAL PRADESH","BIHAR"
"18","02","12","2024","2","HIMACHAL PRADESH","ASSAM"
"19","02","12","2024","23","HIMACHAL PRADESH","WEST BENGAL"
"20","02","12","2024","100","HIMACHAL PRADESH","JHARKHAND"
"22","02","12","2024","18","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","12","2024","238","HIMACHAL PRADESH","MADHYA PRADESH"
"01","03","12","2024","4","PUNJAB","JAMMU AND KASHMIR"
"02","03","12","2024","5","PUNJAB","HIMACHAL PRADESH"
"05","03","12","2024","16","PUNJAB","UTTARAKHAND"
"06","03","12","2024","91","PUNJAB","HARYANA"
"07","03","12","2024","39","PUNJAB","DELHI"
"08","03","12","2024","36","PUNJAB","RAJASTHAN"
"09","03","12","2024","2579","PUNJAB","UTTAR PRADESH"
"10","03","12","2024","3920","PUNJAB","BIHAR"
"18","03","12","2024","2","PUNJAB","ASSAM"
"19","03","12","2024","2","PUNJAB","WEST BENGAL"
"20","03","12","2024","100","PUNJAB","JHARKHAND"
"22","03","12","2024","7","PUNJAB","CHHATTISGARH"
"23","03","12","2024","47","PUNJAB","MADHYA PRADESH"
"32","03","12","2024","1","PUNJAB","KERALA"
"33","03","12","2024","1","PUNJAB","TAMIL NADU"
"05","04","12","2024","4","CHANDIGARH","UTTARAKHAND"
"06","04","12","2024","1","CHANDIGARH","HARYANA"
"08","04","12","2024","2","CHANDIGARH","RAJASTHAN"
"09","04","12","2024","11","CHANDIGARH","UTTAR PRADESH"
"10","04","12","2024","31","CHANDIGARH","BIHAR"
"23","04","12","2024","1","CHANDIGARH","MADHYA PRADESH"
"06","05","12","2024","156","UTTARAKHAND","HARYANA"
"07","05","12","2024","195","UTTARAKHAND","DELHI"
"08","05","12","2024","19","UTTARAKHAND","RAJASTHAN"
"09","05","12","2024","14650","UTTARAKHAND","UTTAR PRADESH"
"10","05","12","2024","3196","UTTARAKHAND","BIHAR"
"18","05","12","2024","1","UTTARAKHAND","ASSAM"
"19","05","12","2024","6","UTTARAKHAND","WEST BENGAL"
"22","05","12","2024","23","UTTARAKHAND","CHHATTISGARH"
"23","05","12","2024","86","UTTARAKHAND","MADHYA PRADESH"
"24","05","12","2024","5","UTTARAKHAND","GUJARAT"
"01","06","12","2024","13","HARYANA","JAMMU AND KASHMIR"
"02","06","12","2024","12","HARYANA","HIMACHAL PRADESH"
"05","06","12","2024","260","HARYANA","UTTARAKHAND"
"07","06","12","2024","864","HARYANA","DELHI"
"08","06","12","2024","1930","HARYANA","RAJASTHAN"
"09","06","12","2024","42000","HARYANA","UTTAR PRADESH"
"10","06","12","2024","38126","HARYANA","BIHAR"
"18","06","12","2024","47","HARYANA","ASSAM"
"19","06","12","2024","191","HARYANA","WEST BENGAL"
"20","06","12","2024","627","HARYANA","JHARKHAND"
"22","06","12","2024","148","HARYANA","CHHATTISGARH"
"23","06","12","2024","5813","HARYANA","MADHYA PRADESH"
"24","06","12","2024","31","HARYANA","GUJARAT"
"28","06","12","2024","1","HARYANA","ANDHRA PRADESH"
"29","06","12","2024","2","HARYANA","KARNATAKA"
"32","06","12","2024","1","HARYANA","KERALA"
"35","06","12","2024","1","HARYANA","ANDAMAN AND NICOBAR ISLANDS"
"36","06","12","2024","1","HARYANA","TELANGANA"
"01","07","12","2024","208","DELHI","JAMMU AND KASHMIR"
"02","07","12","2024","149","DELHI","HIMACHAL PRADESH"
"05","07","12","2024","6519","DELHI","UTTARAKHAND"
"06","07","12","2024","12855","DELHI","HARYANA"
"08","07","12","2024","3927","DELHI","RAJASTHAN"
"09","07","12","2024","210187","DELHI","UTTAR PRADESH"
"10","07","12","2024","224671","DELHI","BIHAR"
"18","07","12","2024","443","DELHI","ASSAM"
"19","07","12","2024","2125","DELHI","WEST BENGAL"
"20","07","12","2024","4882","DELHI","JHARKHAND"
"22","07","12","2024","430","DELHI","CHHATTISGARH"
"23","07","12","2024","21203","DELHI","MADHYA PRADESH"
"24","07","12","2024","248","DELHI","GUJARAT"
"28","07","12","2024","29","DELHI","ANDHRA PRADESH"
"29","07","12","2024","14","DELHI","KARNATAKA"
"32","07","12","2024","80","DELHI","KERALA"
"33","07","12","2024","130","DELHI","TAMIL NADU"
"36","07","12","2024","8","DELHI","TELANGANA"
"38","07","12","2024","2","DELHI","Dadar & Nagar Haveli & Daman & Diu"
"01","08","12","2024","2","RAJASTHAN","JAMMU AND KASHMIR"
"05","08","12","2024","10","RAJASTHAN","UTTARAKHAND"
"06","08","12","2024","1201","RAJASTHAN","HARYANA"
"07","08","12","2024","195","RAJASTHAN","DELHI"
"09","08","12","2024","12395","RAJASTHAN","UTTAR PRADESH"
"10","08","12","2024","6403","RAJASTHAN","BIHAR"
"18","08","12","2024","15","RAJASTHAN","ASSAM"
"19","08","12","2024","28","RAJASTHAN","WEST BENGAL"
"20","08","12","2024","153","RAJASTHAN","JHARKHAND"
"22","08","12","2024","125","RAJASTHAN","CHHATTISGARH"
"23","08","12","2024","2441","RAJASTHAN","MADHYA PRADESH"
"24","08","12","2024","96","RAJASTHAN","GUJARAT"
"28","08","12","2024","4","RAJASTHAN","ANDHRA PRADESH"
"29","08","12","2024","5","RAJASTHAN","KARNATAKA"
"33","08","12","2024","5","RAJASTHAN","TAMIL NADU"
"36","08","12","2024","6","RAJASTHAN","TELANGANA"
"01","09","12","2024","1","UTTAR PRADESH","JAMMU AND KASHMIR"
"05","09","12","2024","60","UTTAR PRADESH","UTTARAKHAND"
"06","09","12","2024","1677","UTTAR PRADESH","HARYANA"
"07","09","12","2024","1738","UTTAR PRADESH","DELHI"
"08","09","12","2024","133","UTTAR PRADESH","RAJASTHAN"
"10","09","12","2024","5611","UTTAR PRADESH","BIHAR"
"18","09","12","2024","38","UTTAR PRADESH","ASSAM"
"19","09","12","2024","20","UTTAR PRADESH","WEST BENGAL"
"20","09","12","2024","191","UTTAR PRADESH","JHARKHAND"
"22","09","12","2024","271","UTTAR PRADESH","CHHATTISGARH"
"23","09","12","2024","815","UTTAR PRADESH","MADHYA PRADESH"
"24","09","12","2024","52","UTTAR PRADESH","GUJARAT"
"28","09","12","2024","1","UTTAR PRADESH","ANDHRA PRADESH"
"29","09","12","2024","12","UTTAR PRADESH","KARNATAKA"
"32","09","12","2024","3","UTTAR PRADESH","KERALA"
"33","09","12","2024","5","UTTAR PRADESH","TAMIL NADU"
"36","09","12","2024","1","UTTAR PRADESH","TELANGANA"
"01","10","12","2024","1","BIHAR","JAMMU AND KASHMIR"
"02","10","12","2024","2","BIHAR","HIMACHAL PRADESH"
"05","10","12","2024","45","BIHAR","UTTARAKHAND"
"06","10","12","2024","1429","BIHAR","HARYANA"
"07","10","12","2024","2926","BIHAR","DELHI"
"08","10","12","2024","152","BIHAR","RAJASTHAN"
"09","10","12","2024","2844","BIHAR","UTTAR PRADESH"
"18","10","12","2024","187","BIHAR","ASSAM"
"19","10","12","2024","413","BIHAR","WEST BENGAL"
"22","10","12","2024","177","BIHAR","CHHATTISGARH"
"23","10","12","2024","173","BIHAR","MADHYA PRADESH"
"24","10","12","2024","133","BIHAR","GUJARAT"
"28","10","12","2024","12","BIHAR","ANDHRA PRADESH"
"29","10","12","2024","14","BIHAR","KARNATAKA"
"32","10","12","2024","4","BIHAR","KERALA"
"33","10","12","2024","8","BIHAR","TAMIL NADU"
"36","10","12","2024","48","BIHAR","TELANGANA"
"38","10","12","2024","5","BIHAR","Dadar & Nagar Haveli & Daman & Diu"
